time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file
2014-11-05T14:05:56.165,1.35952,0.89713,0.43608,-0.00431,32.2031,34,24,10,166,151.26774,75.17111,17.07092,-87.27394,38.16466,17070.91711,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T15:06:14.785,1.42034,1.29275,0.42952,0.03311,56.31167,55,34,21,168,152.67233,73.69406,21.55759,-87.25824,38.15112,21557.58721,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T15:57:30.862,1.12509,0.48026,0.25142,0.0106,12.0,12,10,2,169,283.25006,4.01352,0.0,-85.79696,37.49273,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T16:40:19.192,1.41098,1.42589,0.46214,-0.19301,68.23969,67,47,20,171,146.5542,79.85441,25.50026,-87.32675,38.20761,25500.25502,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T20:51:39.433,0.98274,0.76072,0.19819,0.15828,16.87651,16,12,4,178,181.82037,110.57323,22.26728,-86.91645,38.47783,22267.27922,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T21:59:23.387,1.75615,1.47978,0.59312,0.09568,72.00239,69,47,22,180,146.71064,65.85472,20.82959,-87.32783,38.0815,20829.58567,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T21:10:14.789,1.44947,1.2391,0.39288,-0.051,51.1453,50,38,12,181,148.21888,79.62777,27.3083,-87.3078,38.2053,27308.29814,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T21:49:33.978,1.30018,0.28565,0.17074,-0.02548,16.77399,17,10,7,182,149.07993,82.65601,15.88314,-87.29734,38.23243,15883.13963,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T21:06:17.748,1.55402,0.31668,0.10295,-0.00491,18.98347,19,13,6,183,150.68372,85.0933,12.54337,-87.27852,38.25411,12543.36826,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-05T22:13:00.398,1.62332,0.81919,0.45847,-0.03497,30.2691,30,19,11,188,154.10172,73.5535,18.05363,-87.24196,38.14961,18053.63176,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-06T15:44:45.204,1.38873,0.54668,0.16113,-0.0345,18.93886,19,12,7,215,151.51661,84.56817,13.25322,-87.26912,38.24925,13253.21673,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-06T21:52:45.952,2.06902,1.13813,0.39943,0.03446,28.61865,29,15,14,226,152.12941,75.23124,17.00125,-87.2641,38.16506,17001.25329,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-06T21:52:53.504,1.68538,1.55643,0.15072,-0.01631,12.32334,12,12,0,227,148.22275,72.44958,0.0,-87.30924,38.14065,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
