time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file,time_central
2014-11-02T11:59:43.147,1.02475,2.70189,0.47143,-1.02649,58.0,41,41,0,47,118.95677,26.30053,41.0,-87.65058,37.72926,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T05:59:43.147
2014-11-03T01:59:41.179,1.20347,2.9487,0.75585,-1.03156,73.0,44,44,0,65,105.90943,24.82566,41.0,-87.79878,37.71757,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T19:59:41.179
2014-11-03T02:59:42.603,1.15652,2.76946,0.71585,-1.02384,74.0,45,43,2,66,120.6878,24.20588,41.0,-87.6313,37.71017,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T20:59:42.603
2014-11-03T03:59:42.008,1.11279,2.87046,0.83907,-1.38725,72.0,47,47,0,67,113.92647,26.96859,41.0,-87.70753,37.73592,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T21:59:42.008
2014-11-03T04:58:57.894,2.04024,2.52284,0.44247,-0.75069,66.0,46,46,0,68,-50.08514,-167.79239,41.0,-89.5553,35.98677,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T22:58:57.894
2014-11-03T05:59:43.012,1.14147,2.80502,0.76555,-1.10978,72.0,46,46,0,69,114.43603,30.91916,41.0,-87.70113,37.77144,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-02T23:59:43.012
2014-11-03T06:59:43.318,1.07005,2.86686,0.78316,-0.93127,70.0,41,39,2,70,121.6719,28.97344,41.0,-87.61934,37.75298,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T00:59:43.318
2014-11-03T07:59:42.166,0.99161,2.61285,0.78804,-1.23461,64.0,40,39,1,71,105.04903,32.61782,41.0,-87.80741,37.78786,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T01:59:42.166
2014-11-03T08:59:43.053,1.03727,2.97005,0.8032,-0.84164,63.0,37,36,1,72,140.22108,20.4884,41.0,-87.41054,37.67391,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T02:59:43.053
2014-11-03T09:59:42.712,0.98682,2.99625,0.79519,-0.92563,62.0,39,39,0,73,120.00813,28.51706,41.0,-87.6383,37.74909,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T03:59:42.712
